Unnamed: 0,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL,Hijri_Month
1301,P47604,تيسير نقل المرضى,93600,2024-02-26,72,المواطنون والمقيمون بالمملكة,1190,الجمعية السعودية الخيرية للفصام ( احتواء),الرياض,https://ehsan.sa/projects/0/46605?amount=null,شعبان
1302,P47408,وجبات الطعام للأسر المحتاجة,720000,2024-02-26,240000,المواطنون والمقيمون بالمملكة,44259,جمعية إكرام لحفظ الطعام,مكة المكرمة,https://ehsan.sa/projects/0/46409?amount=null,شعبان
1303,P47478,توفير كسوة الشتاء للأسر المحتاجة,214400,2024-02-26,1072,المواطنون والمقيمون بالمملكة,18725,جمعية الحليلة الخيرية للخدمات الاجتماعية والتنموية,الحليله,https://ehsan.sa/projects/0/46479?amount=null,شعبان
1304,P47483,كسوة الشتاء لأسر ذوي الإعاقة,100000,2024-02-26,200,المواطنون,8771,جمعية الإعاقة الحركية للكبار بالرياض حركية,الرياض,https://ehsan.sa/projects/0/46484?amount=null,شعبان
1305,P47481,سقيا الماء,195000,2024-02-26,65,المواطنون والمقيمون بالمملكة,17814,الجمعية الخيرية بالقويعية,القويعية,https://ehsan.sa/projects/0/46482?amount=null,شعبان
1306,P47467,سقيا الماء,600000,2024-02-25,600000,المواطنون والمقيمون بالمملكة,51325,جمعية البر الخيرية بالمحاني,مكة المكرمة,https://ehsan.sa/projects/0/46468?amount=null,شعبان
1307,P47398,العمليات الجراحية لمرضى العيون المحتاجين,701558,2024-02-25,286,المواطنون والمقيمون بالمملكة,41801,جمعية زمزم الصحية,جدة,https://ehsan.sa/projects/0/46399?amount=null,شعبان
1308,P47482,تفريج كربة,224000,2024-02-25,112,المواطنون,14587,جمعية البر الخيرية بالدليمية,الدليمية,https://ehsan.sa/projects/0/46483?amount=null,شعبان
1309,P47600,سقيا الماء,522935,2024-02-25,469,المواطنون,40845,جمعية البر الخيرية بوادي بن هشبل,وادي هشبل,https://ehsan.sa/projects/0/46601?amount=null,شعبان
1310,P47472,إعانة أسر السجناء,300000,2024-02-25,30,المواطنون,13774,جمعية ايأدي الأمل للتوعية بأضرار المخدرات ورعاية المتعافين,محايل عسير,https://ehsan.sa/projects/0/46473?amount=null,شعبان
1311,P47606,جلسات العلاج الكيميائي لمريض سرطان الدماغ,42050,2024-02-25,1,المواطنون والمقيمون بالمملكة,1059,الجمعية السعودية الخيرية لمكافحة السرطان,الرياض,https://ehsan.sa/projects/0/46607?amount=null,شعبان
1312,P47596,كفالة الأرامل والمطلقات,302400,2024-02-24,56,المواطنون,20043,جمعية عروى الخيرية,عروى,https://ehsan.sa/projects/0/46597?amount=null,شعبان
1313,P47464,دعم المقبلين على الزواج,210000,2024-02-24,21,المواطنون,17444,جمعية زواج الخيرية ورعاية الاسرة بالباحة فرح,الباحة,https://ehsan.sa/projects/0/46465?amount=null,شعبان
1314,P47569,تأثيث منازل المحتاجين,120000,2024-02-23,3,المواطنون,8001,جمعية أم القرى الخيرية النسائية,مكة المكرمة,https://ehsan.sa/projects/0/46570?amount=null,شعبان
1315,P47585,التكفل بالعمرة للجاليات,196000,2024-02-23,980,المقيمون بالمملكة,12784,جمعية الدعوة والارشاد وتوعية الجاليات بالروضة,الرياض,https://ehsan.sa/projects/0/46586?amount=null,شعبان
1316,P47452,تفريج كرب الأسر المحتاجة,300000,2024-02-23,100,المواطنون,21139,جمعية المكفوفين الأهلية بمنطقة الرياض كفيف,الرياض,https://ehsan.sa/projects/0/46453?amount=null,شعبان
1317,P47601,عملية جراحية لمريضة فشل كلوي,16617,2024-02-23,1,المقيمون بالمملكة,1212,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46602?amount=null,شعبان
1318,P47598,السلال الغذائية للأسر المحتاجة,273000,2024-02-23,390,المواطنون,17370,جمعية الغوطة الخيرية بموقق,موقق,https://ehsan.sa/projects/0/46599?amount=null,شعبان
1319,P47588,كفالة مرضى الفشل الكلوي,405000,2024-02-23,9,المواطنون والمقيمون بالمملكة,23619,جمعية عناية الصحية,الرياض,https://ehsan.sa/projects/0/46589?amount=null,شعبان
1320,P47589,سداد إيجارات الأسر المعسرة,165000,2024-02-23,10,المواطنون,8967,جمعية اسعاد لرعاية الأرامل  والمطلقات,الدمام,https://ehsan.sa/projects/0/46590?amount=null,شعبان
1321,P47476,سقيا الماء,79800,2024-02-23,133,المواطنون,5556,جمعية الخدمات الاجتماعية بمركز الدابية,الحائط,https://ehsan.sa/projects/0/46477?amount=null,شعبان
1322,P47590,وجبات الطعام للمعتمرين وزوار بيت الله الحرام,499995,2024-02-23,33333,المواطنون والمقيمون بالمملكة,32139,الجمعية الخيرية بوادي قديد,خليص,https://ehsan.sa/projects/0/46591?amount=null,شعبان
1323,P47486,كفالة مرضى الفشل الكلوي,534400,2024-02-23,334,المقيمون بالمملكة,29718,الجمعية الخيرية لتوفير الدواء للجميع بمكة المكرمة,مكة المكرمة,https://ehsan.sa/projects/0/46487?amount=null,شعبان
1324,P47487,توفير البطانيات للأسر المحتاجة,36800,2024-02-23,400,المواطنون,2540,جمعية البر والخدمات الاجتماعية بمركز أبو ضباع,ابو ضباع,https://ehsan.sa/projects/0/46488?amount=null,شعبان
1325,P47292,تنمية مهارات أطفال الأسر المحتاجة,75000,2024-02-23,30,المواطنون,5844,جمعية التنمية الأهلية ببقعاء الشرقية,بقعاء,https://ehsan.sa/projects/0/46293?amount=null,شعبان
1326,P47466,توفير الدفايات للأسر المحتاجة,201940,2024-02-22,439,المواطنون,18183,جمعية البر والخدمات الاجتماعية بمركز ترج,بيشة,https://ehsan.sa/projects/0/46467?amount=null,شعبان
1327,P47461,تيسير نقل المرضى,199000,2024-02-22,199,المواطنون,10136,جمعية الملك فهد الخيرية النسائية,جازان,https://ehsan.sa/projects/0/46464?amount=null,شعبان
1328,P47577,العمليات الجراحية لمرضى العيون المحتاجين,199500,2024-02-22,35,المقيمون بالمملكة,5394,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46580?amount=null,شعبان
1329,P47465,الكسوة الشتوية للأسر المحتاجة,300000,2024-02-22,600,المواطنون,22519,جمعية البر الخيرية بمحافظة هروب,هروب,https://ehsan.sa/projects/0/46466?amount=null,شعبان
1330,P47468,أداء العمرة لمصاب بالسرطان,85000,2024-02-22,20,المواطنون,6793,جمعية طهور لرعاية ومساندة مرضى السرطان,عنيزة,https://ehsan.sa/projects/0/46469?amount=null,شعبان
1331,P47592,سقيا الماء,600000,2024-02-22,600000,المواطنون والمقيمون بالمملكة,50824,جمعية التنمية الأهلية بالأبواء,مكة المكرمة,https://ehsan.sa/projects/0/46593?amount=null,شعبان
1332,P47584,كفالة الأرامل والمطلقات,394800,2024-02-21,94,المواطنون,22945,الجمعية الخيرية بالمزاحمية,المزاحمية,https://ehsan.sa/projects/0/46585?amount=null,شعبان
1333,P47473,كفالة ذوي الإعاقة,276000,2024-02-21,23,المواطنون,10914,جمعية البر الخيرية ببني حسن,بني حسن,https://ehsan.sa/projects/0/46474?amount=null,شعبان
1334,P47564,كسوة الأسر المحتاجة,216000,2024-02-21,216,المواطنون,10885,جمعية ثرمداء الخيرية,ثرمداء,https://ehsan.sa/projects/0/46565?amount=null,شعبان
1335,P47448,الكسوة الشتوية للأسر المحتاجة,267750,2024-02-21,595,المواطنون,18513,جمعية قدوة لرعاية الايتام,سكاكا,https://ehsan.sa/projects/0/46449?amount=null,شعبان
1336,P47443,الكسوة الشتوية للمحتاجين,311000,2024-02-20,311,المواطنون,20426,جمعية لين للأعمال الإنسانية,البجيدي,https://ehsan.sa/projects/0/46444?amount=null,شعبان
1337,P47444,توفير الدفايات للأسر المحتاجة,113727,2024-02-20,681,المواطنون,10253,جمعية البر الأهلية والخدمات الإجتماعية بمحافظة المهد,المهد,https://ehsan.sa/projects/0/46445?amount=null,شعبان
1338,P47445,جلسات العلاج الكيميائي لمريض سرطان,58255,2024-02-20,1,المقيمون بالمملكة,2580,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46446?amount=null,شعبان
1339,P47446,كفالة الأرامل والمطلقات,234000,2024-02-20,130,المواطنون,15447,الزاد للخدمات الإنسانية,بريدة,https://ehsan.sa/projects/0/46447?amount=null,شعبان
1340,P47434,رعاية وتأهيل المسلمين الجدد,115500,2024-02-20,150,المقيمون بالمملكة,10392,جمعية الدعوة والإرشاد وتوعية الجاليات بالرس,الرس,https://ehsan.sa/projects/0/46435?amount=null,شعبان
1341,P47437,سقيا الماء,500000,2024-02-20,500000,المواطنون والمقيمون بالمملكة,34979,جمعية البر بمكة المكرمة,مكة المكرمة,https://ehsan.sa/projects/0/46439?amount=null,شعبان
1342,P47455,رعاية مرضى السكري,371250,2024-02-20,150,المواطنون والمقيمون بالمملكة,8557,جمعية اصدقاء مرضى السكر الخيرية,جدة,https://ehsan.sa/projects/0/46456?amount=null,شعبان
1343,P47451,كفالة الأرامل والمطلقات,201400,2024-02-20,53,المقيمون بالمملكة,11350,جمعية تنمية المجتمعات الريفية بمنطقة الرياض,الرياض,https://ehsan.sa/projects/0/46452?amount=null,شعبان
1344,P47459,توفير العوازل لسكن المحتاجين,172000,2024-02-20,43,المواطنون,12741,جمعية البر الخيرية بالهمجة,خضراء - القصيم,https://ehsan.sa/projects/0/46460?amount=null,شعبان
1345,P47412,ترميم مساكن الأسر المحتاجة,215000,2024-02-20,5,المواطنون,12968,جمعية البر الخيرية بالمضه,المضة,https://ehsan.sa/projects/0/46413?amount=null,شعبان
1346,P47429,تنمية مهارات الأطفال من ذوي اضطراب طيف التوحد,297600,2024-02-20,32,المواطنون والمقيمون بالمملكة,17562,الجمعية السعودية الخيرية للتوحد,الرياض,https://ehsan.sa/projects/0/46430?amount=null,شعبان
1347,P47405,الكسوة الشتوية للأسر المحتاجة,38800,2024-02-20,194,المواطنون,25362,جمعية الخدمات الانسانية بقناء,حائل,https://ehsan.sa/projects/0/46406?amount=null,شعبان
1348,P47370,توفير أدوية الإقلاع عن التدخين,241740,2024-02-20,395,المواطنون والمقيمون بالمملكة,24962,الجمعية الخيرية لمكافحة التدخين ببريدة (تدارك),بريدة,https://ehsan.sa/projects/0/46371?amount=null,شعبان
1349,P47288,البرامج التدريبية للأرامل والمطلقات,285000,2024-02-20,75,المواطنون,19995,الجمعية السعودية الأهلية لرعاية الأرامل والمطلقات أيامى,الرياض,https://ehsan.sa/projects/0/46289?amount=null,شعبان
1350,P47289,الكفالة التعليمية للطلاب المحتاجين,172000,2024-02-20,86,المواطنون,14446,جمعية رعاية الأيتام بالقريات,القريات,https://ehsan.sa/projects/0/46290?amount=null,شعبان
1351,P47290,جلسات الإصلاح الأسري,300000,2024-02-20,30,المواطنون,26234,جمعية التنمية الأسرية في محافظة الأفلاج,الأفلاج,https://ehsan.sa/projects/0/46291?amount=null,شعبان
1352,P47295,توفير مستلزمات الأطفال الرضّع,65000,2024-02-20,130,المواطنون,4111,جمعية علا لذوي الاعاقة,العلا,https://ehsan.sa/projects/0/46296?amount=null,شعبان
1353,P47296,الكفالة التعليمية للطلاب المحتاجين,95000,2024-02-20,19,المواطنون,7925,جمعية النخب العلمية,بريدة,https://ehsan.sa/projects/0/46297?amount=null,شعبان
1354,P47199,الكفالة التعليمية للطلاب المحتاجين,135000,2024-02-20,27,المواطنون,11285,جمعية البر الخيرية بثول,ثول,https://ehsan.sa/projects/0/46200?amount=null,شعبان
1355,P47565,دعم المقبلين على الزواج,147000,2024-02-20,21,المواطنون,13614,باحة ود الاسرة,المخواة,https://ehsan.sa/projects/0/46566?amount=null,شعبان
1356,P47566,رحلات العمرة للمحتاجين,68000,2024-02-20,400,المواطنون والمقيمون بالمملكة,4945,جمعية الدعوة والارشاد وتوعية الجاليات في المزاحمية,المزاحمية,https://ehsan.sa/projects/0/46567?amount=null,شعبان
1357,P47567,عملية تصحيح الانزلاقات لمريضة محتاجة,86750,2024-02-20,1,المقيمون بالمملكة,3960,جمعية عناية الصحية,الرياض,https://ehsan.sa/projects/0/46568?amount=null,شعبان
1358,P47562,العمليات الجراحية للمحتاجين,90000,2024-02-20,10,المقيمون بالمملكة,3629,جمعية مراس الصحية,أبها,https://ehsan.sa/projects/0/46563?amount=null,شعبان
1359,P47563,جلسات العلاج الكيميائي لمريض سرطان,85000,2024-02-20,1,المقيمون بالمملكة,5379,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46564?amount=null,شعبان
1360,P47570,السلال الغذائية للأسر المحتاجة,268650,2024-02-20,597,المواطنون والمقيمون بالمملكة,20804,جمعية الأفلاج الخيرية,الأفلاج,https://ehsan.sa/projects/0/46571?amount=null,شعبان
1361,P47571,سقيا الماء,200000,2024-02-20,200000,المواطنون والمقيمون بالمملكة,16932,جمعية حفاوة لخدمة الحاج والمعتمر والزائر,مكة المكرمة,https://ehsan.sa/projects/0/46572?amount=null,شعبان
1362,P47572,سقيا الماء,400000,2024-02-20,500,المواطنون والمقيمون بالمملكة,34558,جمعية البر الخيرية بتصلال,نجران,https://ehsan.sa/projects/0/46574?amount=null,شعبان
1363,P47574,توفير البطانيات للمحتاجين,225000,2024-02-20,750,المواطنون والمقيمون بالمملكة,22290,الامير مشعل بن عبدالله لذوي الاحتياجات الخاصة شمعة أمل,نجران,https://ehsan.sa/projects/0/46575?amount=null,شعبان
1364,P47575,عملية قلب لمريض محتاج,59900,2024-02-20,1,المقيمون بالمملكة,2591,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46576?amount=null,شعبان
1365,P47576,الكسوة الشتوية للمحتاجين,199914,2024-02-20,233,المواطنون,17637,جمعية البر الخيرية بالسرح,السرح,https://ehsan.sa/projects/0/46577?amount=null,شعبان
1366,P47582,تفريج كربة,79800,2024-02-20,7,المواطنون,5706,الجمعية الخيرية بالهدار,الأفلاج,https://ehsan.sa/projects/0/46583?amount=null,شعبان
1367,P47591,سقيا الماء,394800,2024-02-20,658,المواطنون,27538,جمعية البر الخيرية للخدمات الاجتماعية بمحافظة يدمة,يدمة,https://ehsan.sa/projects/0/46592?amount=null,شعبان
1368,P47586,العمليات الجراحية لمرضى القلب المحتاجين,180000,2024-02-20,4,المواطنون والمقيمون بالمملكة,14933,جمعية قلب لرعاية مرضى القلب,بريدة,https://ehsan.sa/projects/0/46587?amount=null,شعبان
1369,P47587,جلسات العلاج الكيميائي لمريض سرطان الدماغ,31537,2024-02-20,1,المواطنون والمقيمون بالمملكة,2157,الجمعية السعودية الخيرية لمكافحة السرطان,الرياض,https://ehsan.sa/projects/0/46588?amount=null,شعبان
1370,P47496,دعم المكفوفين المقبلين على الزواج,250000,2024-02-20,20,المواطنون,15962,جمعية المكفوفين الأهلية بمنطقة الرياض كفيف,الرياض,https://ehsan.sa/projects/0/46497?amount=null,شعبان
1371,P47497,توفير الأجهزة الكهربائية للمحتاجين,46200,2024-02-20,12,المواطنون,3165,جمعية البر الخيرية بمركز أحد بني زيد,احد بني زيد,https://ehsan.sa/projects/0/46498?amount=null,شعبان
1372,P47498,جلسات العلاج الطبيعي لمريض يعاني من جلطة في القلب,105004,2024-02-20,1,المواطنون,7932,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46499?amount=null,شعبان
1373,P47493,دعم كبار السن,129000,2024-02-20,43,المواطنون,8082,جمعية البر الخيرية بالفويلق,القويعية,https://ehsan.sa/projects/0/46495?amount=null,شعبان
1374,P47509,توفير قطع غيار القوقعة الإلكترونية,350000,2024-02-20,50,المقيمون بالمملكة,21131,جمعية الأطفال زارعي القوقعة,الرياض,https://ehsan.sa/projects/0/46510?amount=null,شعبان
1375,P47510,سداد إيجارات الأسر المعسرة,149986,2024-02-20,19,المواطنون,6505,جمعية مساند لتمكين ذوي الظروف الخاصة بمكة المكرمة,مكة المكرمة,https://ehsan.sa/projects/0/46511?amount=null,شعبان
1376,P47511,سقيا الماء,850000,2024-02-20,850000,المواطنون والمقيمون بالمملكة,64333,جمعية البر الخيرية بالحوية,الحوية,https://ehsan.sa/projects/0/46512?amount=null,شعبان
1377,P47504,تيسير النقل لكبار السن,250120,2024-02-20,169,المواطنون,20883,جمعية إجلال لمساندة كبار السن بالأفلاج,الأفلاج,https://ehsan.sa/projects/0/46505?amount=null,شعبان
1378,P47505,دعم الأسر المحتاجة,183000,2024-02-20,61,المواطنون والمقيمون بالمملكة,9033,جمعية البر الخيرية بالليث,الليث,https://ehsan.sa/projects/0/46506?amount=null,شعبان
1379,P47506,غرس الأشجار لمكافحة التصحر,80000,2024-02-20,5000,المواطنون والمقيمون بالمملكة,7302,جمعية التنمية الأهلية بشعف بلقرن,شعف بلقرن,https://ehsan.sa/projects/0/46507?amount=null,شعبان
1380,P47507,كفالة دعاة الجاليات,148788,2024-02-20,9,المقيمون بالمملكة,9370,جمعية الدعوة والارشاد وتوعية الجاليات بالخرج,الخرج,https://ehsan.sa/projects/0/46508?amount=null,شعبان
1381,P47529,تأثيث منازل المحتاجين,256000,2024-02-20,256,المواطنون,23430,جمعية تاروت الخيرية للخدمات الاجتماعية,تاروت,https://ehsan.sa/projects/0/46530?amount=null,شعبان
1382,P47530,دعم المقبلين على الزواج,250000,2024-02-20,50,المواطنون,19027,جمعية التنمية الأسرية بمنطة المدينة المنورة (أسرتي),المدينة المنورة,https://ehsan.sa/projects/0/46531?amount=null,شعبان
1383,P47535,السلال الغذائية للأسر المحتاجة,315000,2024-02-20,210,المواطنون,13201,جمعية البر الخيرية بمركز العصلة,تربة,https://ehsan.sa/projects/0/46536?amount=null,شعبان
1384,P47536,وجبات الطعام للمعتمرين وزوار بيت الله الحرام,500000,2024-02-20,50000,المواطنون والمقيمون بالمملكة,39581,جمعية البر الخيرية بمركز فيضة المسلح,مكة المكرمة,https://ehsan.sa/projects/0/46537?amount=null,شعبان
1385,P47556,كفالة مرضى الفشل الكلوي,102500,2024-02-20,41,المقيمون بالمملكة,6183,ربيع طيبة لرعاية مرضى الفشل الكلوي,المدينة المنورة,https://ehsan.sa/projects/0/46557?amount=null,شعبان
1386,P47520,كفالة الأرامل والمطلقات,187200,2024-02-20,39,المواطنون,9741,جمعية البر الخيرية بالخشيبي,بريدة,https://ehsan.sa/projects/0/46521?amount=null,شعبان
1387,P47560,سقيا الماء,300000,2024-02-20,300000,المواطنون والمقيمون بالمملكة,21583,جمعية أرزاق لحفظ النعمة,مكة المكرمة,https://ehsan.sa/projects/0/46561?amount=null,شعبان
1388,P47558,تأهيل ذوي الإعاقة,104520,2024-02-20,10,المواطنون,3960,جمعية عنيزة للتنمية والخدمات الإنسانية,عنيزة,https://ehsan.sa/projects/0/46559?amount=null,شعبان
1389,P47541,الكسوة الشتوية للمحتاجين,127489,2024-02-20,529,المواطنون,7730,جمعية البر الخيرية بالصلصلة,الصلصلة,https://ehsan.sa/projects/0/46542?amount=null,شعبان
1390,P47542,رحلات العمرة للمحتاجين,88000,2024-02-20,176,المواطنون والمقيمون بالمملكة,7178,جمعية الدعوة والإرشاد وتوعية الجاليات بحبونا,حبونا,https://ehsan.sa/projects/0/46543?amount=null,شعبان
1391,P47543,تصحيح سورة الفاتحة لغير المتقنين,130000,2024-02-20,650,المواطنون والمقيمون بالمملكة,11442,جمعية تحفيظ القرآن الكريم بالغالة,الغالة,https://ehsan.sa/projects/0/46544?amount=null,شعبان
1392,P47544,عملية تبديل مفصل الكتف لمريض محتاج,110093,2024-02-20,1,المقيمون بالمملكة,7336,لهم لتوعية الصحية والرعاية المنزلية,الرياض,https://ehsan.sa/projects/0/46545?amount=null,شعبان
1393,P47545,عمليات زراعة القرنية للمرضى المحتاجين,172500,2024-02-20,10,المقيمون بالمملكة,12961,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46546?amount=null,شعبان
1394,P47546,سداد إيجار منازل الأسر المحتاجة,320000,2024-02-20,40,المواطنون,11089,الجمعية الخيرية بمحافظة رماح,رماح,https://ehsan.sa/projects/0/46547?amount=null,شعبان
1395,P47547,توفير اللحوم للأسر المتعففة,188000,2024-02-20,470,المواطنون,1563,جمعية البر الخيرية بالرين,الرين,https://ehsan.sa/projects/0/46548?amount=null,شعبان
1396,P47548,سقيا الماء,600000,2024-02-20,600000,المواطنون والمقيمون بالمملكة,42647,جمعية الهدى لمساعدة الحجاج بمحافظة رابغ,مكة المكرمة,https://ehsan.sa/projects/0/46549?amount=null,شعبان
1397,P47553,تفريج كرب الأسر المحتاجة,434800,2024-02-20,200,المواطنون والمقيمون بالمملكة,28561,جمعية البر الخيرية بأبها,أبها,https://ehsan.sa/projects/0/46554?amount=null,شعبان
1398,P47554,توفير الأجهزة الكهربائية للمحتاجين,148800,2024-02-20,48,المواطنون,14456,جمعية إعانة المحتاجين بالجرد,القوز,https://ehsan.sa/projects/0/46555?amount=null,شعبان
1399,P46252,السلال الغذائية الرمضانية,945000,2024-02-20,4000,المواطنون,59326,سلال الغذائية,الرياض,https://ehsan.sa/projects/0/45253?amount=null,شعبان
1400,P46269,الرعاية الصحية المنزلية للمرضى المحتاجين,200000,2024-02-20,100,المواطنون والمقيمون بالمملكة,9250,جمعية الوفاء للرعاية الصحية,المجمعة,https://ehsan.sa/projects/0/45270?amount=null,شعبان
1401,P46281,كسوة العيد للمحتاجين,180000,2024-02-20,900,المواطنون,12871,جمعية البر بمركز الجوة,الجوة,https://ehsan.sa/projects/0/45282?amount=null,شعبان
1402,P46284,الرعاية الصحية لمرضى الفشل الكلوي,252000,2024-02-20,5,المواطنون والمقيمون بالمملكة,5881,جمعية البر بجدة,جدة,https://ehsan.sa/projects/0/45285?amount=null,شعبان
1403,P47442,كفالة مرضى الفشل الكلوي,293750,2024-02-18,25,المواطنون والمقيمون بالمملكة,17595,جمعية أطباء طيبة الطبية الخيرية حياة,المدينة المنورة,https://ehsan.sa/projects/0/46443?amount=null,شعبان
1404,P47449,سداد إيجار منازل الأسر المحتاجة,240000,2024-02-17,12,المواطنون,16870,جمعية البر الخيرية بتصلال,نجران,https://ehsan.sa/projects/0/46450?amount=null,شعبان
1405,P47458,السلال الغذائية للأسر المحتاجة,92000,2024-02-17,200,المواطنون والمقيمون بالمملكة,5313,جمعية غياث للاغاثة والطوارئ,صبياء,https://ehsan.sa/projects/0/46459?amount=null,شعبان
1406,P47474,رحلات العمرة للمحتاجين,49000,2024-02-17,196,المواطنون والمقيمون بالمملكة,4731,جمعية مآثر للدعوة والإرشاد وتوعية الجاليات بمحافظة العارضة,العارضة,https://ehsan.sa/projects/0/46475?amount=null,شعبان
1407,P47479,العمليات الجراحية للمحتاجين,76035,2024-02-17,3,المقيمون بالمملكة,4050,جمعية الخدمات الصحية بالقريات,القريات,https://ehsan.sa/projects/0/46480?amount=null,شعبان
1408,P47490,تفريج كرب الأسر المحتاجة,200000,2024-02-16,20,المواطنون,14659,جمعية قدرة النسائية الاهلية بعنيزة,عنيزة,https://ehsan.sa/projects/0/46491?amount=null,شعبان
1409,P47406,سداد إيجار منازل الأسر المحتاجة,184696,2024-02-16,8,المواطنون,8759,جمعية أصدقاء لاعبي كرة القدم الخيرية,الرياض,https://ehsan.sa/projects/0/46407?amount=null,شعبان
1410,P47447,توفير الدفايات للأسر المحتاجة,83200,2024-02-16,104,المواطنون,6427,جمعية البر الخيرية بروضة هباس,روضة هباس,https://ehsan.sa/projects/0/46448?amount=null,شعبان
1411,P47460,عملية جراحية لمريضة  تعاني من أورام في الجهاز الهضمي,78700,2024-02-14,1,المقيمون بالمملكة,4377,جمعية عناية الصحية,الرياض,https://ehsan.sa/projects/0/46461?amount=null,شعبان
1412,P47424,كفالة حلقات القرآن الكريم,67200,2024-02-14,56,المواطنون والمقيمون بالمملكة,19111,جمعية تحفيظ القران الكريم في محافظة المجاردة,المجاردة,https://ehsan.sa/projects/0/46425?amount=null,شعبان
1413,P47475,عملية زراعة كلية لمريض محتاج,80000,2024-02-13,1,المقيمون بالمملكة,3536,جمعية بسمة معافى الصحية,حفر الباطن,https://ehsan.sa/projects/0/46476?amount=null,شعبان
1414,P47417,تأمين احتياجات ذوي الإعاقة,168000,2024-02-12,28,المواطنون,13655,جمعية البر الخيرية بالمضه,المضة,https://ehsan.sa/projects/0/46418?amount=null,شعبان
1415,P47396,تنمية مهارات الأطفال من ذوي اضطراب طيف التوحد,250200,2024-02-12,12,المواطنون,16876,الجمعية الخيرية لذوي الاحتياجات الخاصة بالجبيل الصناعية إرادة,الجبيل,https://ehsan.sa/projects/0/46397?amount=null,شعبان
1416,P47401,الرعاية الصحية لكبار السن,199758,2024-02-11,169,المواطنون,12915,جمعية إجلال لمساندة كبار السن بالأفلاج,الأفلاج,https://ehsan.sa/projects/0/46402?amount=null,شعبان
1417,P47413,دعم المقبلين على الزواج,217000,2024-02-11,31,المواطنون,18917,جمعية البر الخيرية بالنماص,النماص,https://ehsan.sa/projects/0/46415?amount=null,شعبان
1418,P47418,توزيع اللحوم على الأسر المحتاجة,122100,2024-02-11,407,المواطنون,7010,جمعية البر الخيرية بالشفية,بدر,https://ehsan.sa/projects/0/46419?amount=null,شعبان
1419,P47422,تفريج كرب الأسر المحتاجة,121000,2024-02-11,2,المواطنون,8388,جمعية رعاية الأيتام بتربة,تربة,https://ehsan.sa/projects/0/46423?amount=null,شعبان
1420,P47428,كفالة حلقات تحفيظ القرآن الكريم,60000,2024-02-11,20,المواطنون,3982,الجمعية الخيرية لتحفيظ القرآن الكريم بالواديين,الواديين,https://ehsan.sa/projects/0/46429?amount=null,شعبان
1421,P47430,الكسوة الشتوية للأسر المحتاجة,261000,2024-02-11,435,المواطنون,9932,جمعية البر الخيرية بمحافظة المويه,المويه,https://ehsan.sa/projects/0/46431?amount=null,شعبان
1422,P47435,دعم ذوي الاحتياجات الخاصة,96000,2024-02-11,48,المواطنون,7961,جمعية البر الخيرية بالفويلق,القويعية,https://ehsan.sa/projects/0/46436?amount=null,شعبان
1423,P47436,سقيا الماء,250000,2024-02-11,500,المواطنون,18210,جمعية البر الخيرية بعجلان وضواحيها,القنفذه,https://ehsan.sa/projects/0/46437?amount=null,شعبان
1424,P47192,الكفالة التعليمية للطلاب المحتاجين,100000,2024-02-11,100,المواطنون والمقيمون بالمملكة,4980,جمعية التنمية الأهلية بالشقيق,الشقيق,https://ehsan.sa/projects/0/46193?amount=null,شعبان
1425,P47312,دعم الأسر المحتاجة,198000,2024-02-11,110,المواطنون,3312,جمعية البر الخيرية بجبال الحشر,الداير بني مالك,https://ehsan.sa/projects/0/46313?amount=null,شعبان
1426,P47316,إعانة أسر السجناء,120000,2024-02-11,20,المواطنون,5916,جمعية التنمية الأهلية بمزهرة,الحكامية,https://ehsan.sa/projects/0/46317?amount=null,شعبان
1427,P47480,عملية تعويض فك لفتاة محتاجة,154100,2024-02-10,1,المقيمون بالمملكة,8169,جمعية تداوي الصحية بمحافظة بشرورة,شرورة,https://ehsan.sa/projects/0/46481?amount=null,رجب
1428,P47454,السلال الغذائية للأسر المحتاجة,119800,2024-02-10,599,المواطنون,5261,جمعية زائد لحفظ النعمة بمحافظة احد المسارحة,احدالمسارحة,https://ehsan.sa/projects/0/46455?amount=null,رجب
1429,P47419,سقيا الماء,169650,2024-02-09,117,المواطنون والمقيمون بالمملكة,18815,جمعية بصيرة للمكفوفين بنجران,نجران,https://ehsan.sa/projects/0/46420?amount=null,رجب
1430,P47397,تأمين احتياجات المرضى,160800,2024-02-09,4,المواطنون والمقيمون بالمملكة,15033,جمعية أطباء طيبة الطبية الخيرية حياة,المدينة المنورة,https://ehsan.sa/projects/0/46398?amount=null,رجب
1431,P47392,الكسوة الشتوية للأسر المحتاجة,180800,2024-02-08,452,المواطنون,11834,جمعية قرن ظبي الخيرية للخدمات الاجتماعية,بني حسن,https://ehsan.sa/projects/0/46393?amount=null,رجب
